Original Title,types,variable_index,country,date,types_recode,continent,cultural distance,distance_to_ankara
Bir Baskadir,Rise–Fall–Rise,3,Australia,"November 12, 2020",0,Oceania,0.7100703,1.0
Bir Baskadir,Rise–Fall–Rise,6,Germany,"November 12, 2020",0,Europe,0.7842516,0.1673367793261102
Bir Baskadir,Rise–Fall–Rise,7,Ecuador,"November 12, 2020",0,South America,0.1381429,0.8549951931784503
Bir Baskadir,Rise–Fall–Rise,4,Brazil,"November 12, 2020",0,South America,0.3063638,0.7086143745052557
Bir Baskadir,Rise–Fall–Rise,10,United Kingdom,"November 12, 2020",0,Europe,0.6967751,0.2524422168955692
Bir Baskadir,Rise–Fall–Rise,11,Indonesia,"November 12, 2020",0,Asia,0.0833755,0.6296538091518518
Bir Baskadir,Rise–Fall–Rise,12,Israel,"November 12, 2020",0,Asia,0.01,0.0612838137293157
Bir Baskadir,Rise–Fall–Rise,13,India,"November 12, 2020",0,Asia,0.0793723,0.33051190066537
Bir Baskadir,Rise–Fall–Rise,14,Italy,"November 12, 2020",0,Europe,0.4192803,0.1478157140319547
Bir Baskadir,Rise–Fall–Rise,15,South Korea,"November 12, 2020",0,Asia,0.7258395,0.6799317781731508
Bir Baskadir,Rise–Fall–Rise,16,Mexico,"November 12, 2020",0,North America,0.4145935,0.9646369383912728
Bir Baskadir,Rise–Fall–Rise,17,Netherlands,"November 12, 2020",0,Europe,0.8124272,0.2210696091685343
Bir Baskadir,Rise–Fall–Rise,18,Philippines,"November 12, 2020",0,Asia,0.1298888,0.6621582412275726
Bir Baskadir,Rise–Fall–Rise,19,Poland,"November 12, 2020",0,Europe,0.324006,0.1233551371653434
Bir Baskadir,Rise–Fall–Rise,20,Sweden,"November 12, 2020",0,Europe,1.0,0.1762383532841106
Bir Baskadir,Rise–Fall–Rise,21,Singapore,"November 12, 2020",0,Asia,0.230165,0.583682754347835
Bir Baskadir,Rise–Fall–Rise,5,Canada,"November 12, 2020",0,North America,0.5667968,0.7849206074012037
Bir Baskadir,Rise–Fall–Rise,8,Spain,"November 12, 2020",0,Europe,0.7732433,0.2640219694512341
Bir Baskadir,Rise–Fall–Rise,9,France,"November 12, 2020",0,Europe,0.6693177,0.2295492047563604
Bir Baskadir,Rise–Fall–Rise,23,United States,"November 12, 2020",0,North America,0.534117,0.7936160860974052
Bir Baskadir,Rise–Fall–Rise,24,Japan,"November 22, 2020",0,Asia,0.6066421,0.7721366121005522
Bir Bulut Olsam,Fall–Rise,1,Cyprus,"February 23, 2009",1,Asia,0.1591806,0.0345762125599727
Bir Bulut Olsam,Fall–Rise,3,United States,"February 23, 2009",1,North America,0.534117,0.7936160860974052
Bir Bulut Olsam,Fall–Rise,6,Egypt,2011,1,Africa,0.3713828,0.0723007485139661
Bir Bulut Olsam,Fall–Rise,7,Saudi Arabia,2011,1,Asia,0.0949598,0.1486840479923277
